Event: 227741703 | orbit≈ 22774170 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741713 | orbit≈ 22774171 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741723 | orbit≈ 22774172 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741733 | orbit≈ 22774173 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741743 | orbit≈ 22774174 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741753 | orbit≈ 22774175 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741763 | orbit≈ 22774176 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741773 | orbit≈ 22774177 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741783 | orbit≈ 22774178 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741793 | orbit≈ 22774179 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741803 | orbit≈ 22774180 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741813 | orbit≈ 22774181 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741823 | orbit≈ 22774182 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741833 | orbit≈ 22774183 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741843 | orbit≈ 22774184 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741853 | orbit≈ 22774185 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741863 | orbit≈ 22774186 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741873 | orbit≈ 22774187 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741883 | orbit≈ 22774188 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741893 | orbit≈ 22774189 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741903 | orbit≈ 22774190 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741913 | orbit≈ 22774191 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741923 | orbit≈ 22774192 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741933 | orbit≈ 22774193 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741943 | orbit≈ 22774194 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741953 | orbit≈ 22774195 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741963 | orbit≈ 22774196 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741973 | orbit≈ 22774197 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741983 | orbit≈ 22774198 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227741993 | orbit≈ 22774199 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742003 | orbit≈ 22774200 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742013 | orbit≈ 22774201 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742023 | orbit≈ 22774202 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742033 | orbit≈ 22774203 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742043 | orbit≈ 22774204 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742053 | orbit≈ 22774205 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742063 | orbit≈ 22774206 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742073 | orbit≈ 22774207 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742083 | orbit≈ 22774208 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742093 | orbit≈ 22774209 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742103 | orbit≈ 22774210 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742113 | orbit≈ 22774211 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742123 | orbit≈ 22774212 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742133 | orbit≈ 22774213 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742143 | orbit≈ 22774214 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742153 | orbit≈ 22774215 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742163 | orbit≈ 22774216 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742173 | orbit≈ 22774217 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742183 | orbit≈ 22774218 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742193 | orbit≈ 22774219 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742203 | orbit≈ 22774220 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742213 | orbit≈ 22774221 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742223 | orbit≈ 22774222 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742233 | orbit≈ 22774223 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742243 | orbit≈ 22774224 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742253 | orbit≈ 22774225 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742263 | orbit≈ 22774226 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742273 | orbit≈ 22774227 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742283 | orbit≈ 22774228 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742293 | orbit≈ 22774229 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742303 | orbit≈ 22774230 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742313 | orbit≈ 22774231 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742323 | orbit≈ 22774232 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742333 | orbit≈ 22774233 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742343 | orbit≈ 22774234 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742353 | orbit≈ 22774235 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742363 | orbit≈ 22774236 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742373 | orbit≈ 22774237 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742383 | orbit≈ 22774238 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742393 | orbit≈ 22774239 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742403 | orbit≈ 22774240 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742413 | orbit≈ 22774241 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742423 | orbit≈ 22774242 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742433 | orbit≈ 22774243 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742443 | orbit≈ 22774244 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742453 | orbit≈ 22774245 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742463 | orbit≈ 22774246 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742473 | orbit≈ 22774247 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742483 | orbit≈ 22774248 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742493 | orbit≈ 22774249 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742503 | orbit≈ 22774250 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742513 | orbit≈ 22774251 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742523 | orbit≈ 22774252 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742533 | orbit≈ 22774253 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742543 | orbit≈ 22774254 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742553 | orbit≈ 22774255 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742563 | orbit≈ 22774256 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742573 | orbit≈ 22774257 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742583 | orbit≈ 22774258 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742593 | orbit≈ 22774259 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742603 | orbit≈ 22774260 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742613 | orbit≈ 22774261 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742623 | orbit≈ 22774262 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742633 | orbit≈ 22774263 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742643 | orbit≈ 22774264 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742653 | orbit≈ 22774265 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742663 | orbit≈ 22774266 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742673 | orbit≈ 22774267 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742683 | orbit≈ 22774268 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742693 | orbit≈ 22774269 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742703 | orbit≈ 22774270 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742713 | orbit≈ 22774271 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742723 | orbit≈ 22774272 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742733 | orbit≈ 22774273 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742743 | orbit≈ 22774274 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742753 | orbit≈ 22774275 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742763 | orbit≈ 22774276 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742773 | orbit≈ 22774277 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742783 | orbit≈ 22774278 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
Event: 227742793 | orbit≈ 22774279 | LS: 869 | nb4: 0 | LumiNb4ID: 86900
